star,spectral_type,metallicity,radius,radius_unc,radius_ref,fbol,fbol_unc,Lbol,Lbol_unc,Teff,Teff_unc,age,mass
142860,F6V,-0.17,1.3890,0.0650,5,73.8500,0.1080,2.9136,0.0125,6369,148,3.3,1.200
146233,G2V,0.02,1.1656,0.0264,2,17.3400,0.0900,1.0438,0.0120,5409,59,14.9,0.892
146233,G2V,0.02,1.0100,0.0090,20,17.3400,0.0900,1.0438,0.0120,5811,28,3.5,1.031
150680,G2IV,0.02,2.7267,0.0603,11,196.2000,0.1680,7.0184,0.0710,5695,61,3.3,1.438
150680,G2IV,0.02,2.8684,0.1047,14,196.2000,0.1680,7.0184,0.0710,5552,100,3.1,1.469
157214,G0V,-0.37,1.1159,0.0191,0,18.9700,0.0971,1.2130,0.0107,5738,48,13.7,0.847
158633,K0V,-0.41,0.7891,0.0144,0,8.0100,0.0500,0.4090,0.0040,5203,46,14.9,0.729
161797,G5IV,0.23,1.7448,0.0349,11,116.4000,0.1240,2.5043,0.0072,5502,55,8.0,1.118
162003,F5IV-V,-0.03,2.3289,0.0671,2,37.0400,0.0418,6.0174,0.1239,5928,81,3.8,1.349
164259,F2V,-0.03,1.9614,0.0713,2,34.6900,0.1600,5.9942,0.0999,6454,113,2.4,1.450
168151,F5V,-0.28,1.7577,0.0225,0,25.3500,0.0231,4.1486,0.0325,6221,39,5.0,1.156
173667,F5.5IV-V,-0.03,2.0644,0.0166,2,52.3100,0.0798,6.0126,0.0585,6296,19,2.7,1.443
173701,K0V,0.24,0.9520,0.0210,21,2.8900,0.0500,0.6412,0.0112,5297,53,9.0,0.922
175726,G5V,-0.09,0.9870,0.0230,21,5.4000,0.1000,1.1817,0.0387,6067,67,0.2,1.097
177153,G0V,-0.06,1.2890,0.0370,21,3.3900,0.0700,1.8167,0.0762,5909,69,6.8,1.051
177724,A0IV-Vnn,-0.52,2.4487,0.0464,2,181.1000,0.3110,36.5649,0.3044,9078,86,0.8,2.006
181420,F2V,-0.03,1.7300,0.0840,21,6.0000,0.2000,4.2183,0.2383,6283,106,3.1,1.334
182572,G8IV,0.34,1.3785,0.0418,2,24.1000,0.0409,1.7293,0.0140,5643,84,5.9,1.147
182736,G0IV,-0.06,2.7030,0.0710,21,4.7700,0.0800,4.9364,0.2476,5239,37,3.8,1.353
185395,F3+V,0.02,1.6965,0.0301,2,39.2000,0.0366,4.1053,0.0229,6313,55,2.9,1.344
185395,F3+V,0.02,1.5030,0.0070,3,39.2000,0.0366,4.1053,0.0229,6719,13,1.3,1.395
186408,G1.5V,0.05,1.2551,0.0261,0,11.2500,0.0187,1.5572,0.0179,5760,57,7.9,1.032
186427,G3V,0.04,1.1689,0.0274,0,9.1080,0.0145,1.2768,0.0148,5678,66,8.9,0.989
187637,F5V,-0.09,1.3060,0.0470,21,2.5500,0.0500,2.1936,0.1144,6155,85,3.9,1.144
188512,G8IV-V,-0.14,3.2103,0.1328,22,92.7100,0.0797,5.4196,0.0301,4920,102,7.3,1.114
190360,G7IV-V,0.21,1.2000,0.0330,1,14.4300,0.0800,1.1301,0.0137,5461,75,11.3,0.971
190406,G0V,0.03,1.1153,0.0211,23,12.5300,0.0159,1.2323,0.0154,5763,49,6.9,1.010
195564,G2V,0.06,1.8673,0.0833,0,14.5800,0.0900,2.7046,0.0466,5421,118,8.2,1.097
198149,K0IV,-0.11,4.0638,0.0617,22,127.8000,0.1020,8.1018,0.0262,4835,37,8.4,1.083
206860,G0IV-V,-0.16,1.0189,0.0291,0,11.0300,0.0700,1.0992,0.0190,5860,83,5.8,0.975
210027,F5V,-0.13,1.5260,0.0680,5,77.4600,0.0702,3.3180,0.0491,6324,139,3.4,1.238
210418,A2V,-0.38,2.6225,0.0829,2,95.0200,0.2470,23.7012,1.1418,7872,82,1.1,1.848
213558,A1V,,2.1432,0.0737,2,89.7800,0.1470,27.6750,0.2138,9050,157,0.4,2.194
215648,F6V,-0.26,1.9117,0.0160,2,54.5300,0.0684,4.5118,0.0285,6090,22,5.2,1.164
216956,A4V,0.20,1.8451,0.0202,4,846.3000,1.0600,15.6458,0.1150,8459,44,0.2,2.025
217014,G3V,0.17,1.2660,0.0460,1,17.0800,0.0313,1.2954,0.0155,5503,99,11.3,0.980
217014,G3V,0.17,1.1501,0.0195,0,17.0800,0.0313,1.2962,0.0156,5750,46,5.6,1.064
217107,G8IV-V,0.31,1.2104,0.0195,0,9.0400,0.0800,1.0951,0.0338,5391,40,11.9,0.969
218396,F0,,1.4400,0.0600,24,10.2500,0.0500,4.9571,0.2745,7163,84,0.2,1.507
219623,F8V,0.04,1.1950,0.0359,0,15.2600,0.1200,1.9987,0.0265,6285,94,1.2,1.215
222368,F7V,-0.14,1.5949,0.0137,2,57.3100,0.0798,3.3576,0.0146,6192,26,4.6,1.184
222603,A7V,,2.0403,0.0451,0,40.2200,0.0933,13.3897,0.1692,7734,80,0.9,1.806

# Star        &lt;R&gt;,sigma (R_sun)        &lt;T_eff&gt;,sigma (K)    &lt;Mass&gt; (M_sun)    &lt;Age&gt; (Gyr)
#
# 9826        1.6537,0.0324        6104,75    3.6    1.300
# 19373        1.4148,0.0149        5832,33    6.9    1.094
# 30652        1.3223,0.0103        6441,19    1.8    1.262
# 48915        1.7074,0.0124        9711,23    0.1    2.281
# 61421        2.0468,0.0102        6582,16    2.1    1.510
# 97603        2.5471,0.0510        7889,60    1.0    1.924
# 103095        0.6784,0.0055        4791,28    14.9    0.611
# 109358        1.0999,0.0415        5700,95    11.3    0.906
# 121370        2.7475,0.0431        6012,45    2.3    1.648
# 126660        1.7336,0.0112        6211,19    3.4    1.314
# 128621        0.8671,0.0029        5232,8    4.5    0.921
# 142860        1.4715,0.0082        6222,13    4.3    1.168
# 150680        2.7620,0.0613        5656,63    3.3    1.438
# 217014        1.1678,0.0416        5706,95    6.4    1.054
#
# Notes. All measurements of stellar radii found in the literature, with precision of better than 5%. Stars with multiple measurements are marked with a . Metallicities are from Anderson & Francis (2011) and parallaxes are from van Leeuwen (2007). The bottom portion of the table lists the stars with multiple measurements, and the weighted mean for their radii and temperatures (all other parameters remain unaffected when combining the multiple sources for measured radii). All bolometric flux, luminosity, and temperature values are computed/measured in 0. See Sections 2.2-2.4 for details.
# a Stellar mass and age determined by interpolating the Y2 isochrones to match the measured stellar radii, effective temperature, and metallicity.
# b Spectral type from SIMBAD.
# c The measurements and associated errors are incommensurate for the two stars HD 146233 and HD 185395, likely caused from calibration errors. No measurement averages are taken due to this.
# d Bolometric flux from Huber et al. (2012).
# References. (1) Baines et al. 2008; (2) Boyajian et al. 2012a; (3) Ligi et al. 2012; (4) Di Folco et al. 2004; (5) van Belle & von Braun 2009; (6) Thevenin et al. 2005; (7) Davis et al. 2011; (8) Hanbury Brown et al. 1974; (9) Davis & Tango 1986; (10) Kervella et al. 2003a; (11) Mozurkewich et al. 2003; (12) Bigot et al. 2011; (13) Chiavassa et al. 2012; (14) Nordgren et al. 2001; (15) Kervella et al. 2004; (16) von Braun et al. 2011b; (17) Creevey et al. 2012; (18) Kervella et al. 2003b; (19) Bigot et al. 2006; (20) Bazot et al. 2011; (21) Huber et al. 2012; (22) Nordgren et al. 1999; (23) Crepp et al. 2012; (24) Baines et al. 2012.
